Table 1.1.11. Real Gross Domestic Product: Percent Change From Quarter One Year Ago
Table 1.1.11. Real Gross Domestic Product: Percent Change From Quarter One Year Ago
"Last Revised on: April 27, 2023 - Next Release Date May 25, 2023"
Line,,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008,2009,2009,2009,2009,2010,2010,2010,2010,2011,2011,2011,2011,2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023
Line,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1
1,"        Gross domestic product (GDP)",4.2,5.2,4.0,2.9,2.2,1.0,0.5,0.2,1.3,1.3,2.1,2.0,1.7,2.0,3.2,4.3,4.4,4.2,3.5,3.4,3.9,3.6,3.4,3.0,3.2,3.0,2.3,2.6,1.5,1.9,2.4,2.2,1.4,1.4,0.2,-2.5,-3.3,-4.0,-3.1,0.1,1.8,2.9,3.3,2.8,2.0,1.7,0.9,1.5,2.6,2.4,2.6,1.6,1.6,1.3,1.9,2.5,1.3,2.5,2.8,2.6,3.8,3.0,2.2,1.9,1.6,1.4,1.6,2.0,1.8,2.0,2.3,2.8,3.1,3.3,3.2,2.3,2.2,2.1,2.3,2.6,0.8,-8.4,-2.0,-1.5,1.2,12.5,5.0,5.7,3.7,1.8,1.9,0.9,1.6
2,Personal consumption expenditures,5.7,5.1,5.0,4.3,3.2,2.4,1.8,2.5,2.4,2.7,3.1,2.0,2.3,2.9,3.7,3.8,4.2,3.6,3.4,3.8,3.5,4.1,3.8,2.8,3.2,2.6,2.5,3.2,2.8,2.5,2.5,2.0,1.2,1.2,-0.2,-1.5,-1.6,-2.4,-1.0,-0.2,0.6,2.1,2.1,2.8,2.6,1.8,1.4,1.0,1.3,1.4,1.3,1.5,1.3,1.3,1.5,1.9,1.7,2.5,3.1,3.5,3.7,3.5,3.3,2.6,2.7,2.5,2.4,2.3,2.3,2.2,2.2,2.8,2.8,3.1,3.2,2.5,1.9,1.8,2.0,2.2,0.5,-9.4,-1.7,-1.4,2.8,16.6,7.4,7.2,4.8,2.4,2.2,1.7,2.3
3,"    Goods",6.9,5.0,4.9,4.0,2.7,2.4,2.1,4.9,4.4,4.5,5.0,1.7,2.5,4.4,6.1,6.6,7.2,5.3,3.8,4.3,3.9,5.1,4.6,3.0,4.3,3.0,2.9,4.6,3.2,3.3,3.0,1.8,-0.6,-1.0,-3.7,-6.8,-5.2,-5.7,-2.0,0.6,1.3,3.4,2.3,4.3,4.1,2.3,1.6,0.9,1.7,2.0,2.4,2.4,2.9,3.0,3.3,3.5,2.4,4.2,4.6,5.0,5.6,4.8,4.8,3.8,3.6,3.4,3.3,3.4,3.2,3.4,3.6,5.2,4.6,4.4,4.0,2.7,2.4,3.0,3.6,3.5,3.5,-0.7,9.2,8.6,14.9,21.5,6.6,7.1,1.3,-2.1,-0.2,-0.8,0.8
4,"        Durable goods",14.6,7.4,6.7,6.1,2.2,4.0,3.4,11.3,8.3,9.1,11.1,1.6,2.8,6.8,8.3,10.8,12.7,8.1,6.2,6.6,5.3,7.8,7.2,2.0,5.6,2.9,2.3,7.0,4.3,5.3,5.1,4.4,-0.3,-2.0,-6.5,-14.0,-11.0,-11.0,-3.4,1.8,2.9,6.9,3.6,9.0,8.6,4.6,3.9,3.5,5.1,6.0,6.5,6.3,6.5,6.7,6.3,5.0,4.0,7.3,8.3,9.2,9.4,7.9,7.4,6.0,5.4,4.3,5.5,6.3,5.6,5.7,5.8,8.2,8.3,8.5,7.1,3.7,2.1,2.9,4.2,5.7,3.5,1.4,18.2,16.2,31.4,34.6,5.9,7.0,-0.6,-3.7,2.2,0.6,2.7
5,"        Nondurable goods",2.6,3.6,3.8,2.7,3.0,1.5,1.3,1.2,2.2,1.8,1.5,1.9,2.3,3.0,4.7,4.1,4.0,3.6,2.5,2.9,3.1,3.5,3.2,3.5,3.6,3.0,3.2,3.2,2.5,2.1,1.8,0.4,-0.8,-0.4,-2.2,-3.0,-2.3,-3.0,-1.3,0.0,0.6,1.7,1.8,2.2,2.0,1.2,0.5,-0.2,0.2,0.2,0.6,0.7,1.3,1.3,1.9,2.8,1.7,2.8,2.9,3.2,3.8,3.4,3.6,2.8,2.7,3.0,2.2,2.0,2.1,2.3,2.5,3.7,2.9,2.3,2.5,2.2,2.6,3.1,3.3,2.4,3.5,-1.8,4.6,4.6,6.6,14.6,7.0,7.2,2.4,-1.1,-1.6,-1.6,-0.3
6,"    Services",5.1,5.2,5.0,4.5,3.4,2.4,1.6,1.3,1.3,1.8,2.0,2.1,2.2,2.1,2.4,2.3,2.7,2.7,3.1,3.6,3.3,3.6,3.3,2.7,2.7,2.5,2.2,2.5,2.5,2.1,2.3,2.0,2.1,2.4,1.6,1.2,0.2,-0.7,-0.5,-0.6,0.3,1.4,2.0,2.1,1.9,1.6,1.3,1.0,1.1,1.1,0.7,1.1,0.6,0.5,0.6,1.1,1.4,1.7,2.4,2.7,2.9,2.9,2.5,2.1,2.3,2.1,1.9,1.8,1.9,1.6,1.6,1.7,1.9,2.5,2.8,2.4,1.7,1.3,1.3,1.6,-0.9,-13.2,-6.6,-5.8,-2.6,14.1,7.8,7.2,6.7,4.8,3.5,3.0,3.0
7,Gross private domestic investment,4.8,11.0,6.9,4.3,0.3,-5.2,-6.3,-11.1,-4.1,-2.7,-0.7,4.4,2.2,1.3,5.1,8.7,8.1,11.6,9.4,8.0,10.8,5.2,4.9,6.1,4.8,5.5,3.7,-1.5,-3.6,-1.9,-2.5,-1.8,-3.8,-6.5,-7.5,-15.3,-23.1,-26.2,-24.8,-9.2,5.0,17.3,22.8,12.1,7.5,6.3,2.1,10.4,14.8,12.9,13.0,4.0,5.7,4.4,8.0,9.3,4.2,7.4,5.6,5.3,10.2,6.0,3.7,2.3,-1.5,-2.3,-2.0,1.8,1.7,4.1,5.9,4.6,6.7,5.1,6.2,4.8,4.2,4.7,2.1,0.1,-2.1,-17.7,-3.8,2.4,2.3,21.2,5.6,8.6,11.6,7.2,1.9,-3.8,-8.2
8,"    Fixed investment",8.3,8.1,6.1,5.9,2.4,-1.0,-2.2,-4.7,-4.9,-3.9,-3.4,-1.5,0.2,2.7,6.2,8.6,7.4,7.7,6.5,6.5,8.7,7.6,7.2,5.8,5.9,3.6,1.1,0.0,-2.0,-1.0,-0.9,-1.1,-2.6,-3.8,-5.7,-11.1,-16.9,-19.2,-16.8,-10.5,-2.8,4.5,4.7,6.1,6.0,4.7,8.5,9.2,12.8,12.4,8.1,7.2,5.8,4.5,6.2,5.7,5.0,7.0,7.2,7.0,6.3,4.3,3.2,1.7,2.0,1.7,1.8,2.8,3.6,4.0,3.7,5.0,5.0,5.6,5.4,3.5,2.4,2.4,3.0,2.4,1.4,-8.3,-3.2,1.0,4.1,15.0,7.6,3.7,2.5,-0.2,-0.9,-2.0,-3.2
